,text
0,Students shall go through the duties to understand the role and work of a hall manager in a hostel i.e address the complaints of the hostel to him/ her. Please make sure that the complaints are made in writing to the hall manager in order to have accountability of work.
1,HALL MANAGER DUTIES: 1. An Institute employee shall be deputed as Hall Manager to assist the Wardens and the Hostel Council 2. The Hall Manager shall maintain all accounts of the hostels and the mess bills including management of rebates. The final mess bill preparation and cross check from all residents is the responsibility of the hall manager
2,3. The Hall Manager shall assist the hostel council members in matters ofcorrespondence 4. The Hall Manager shall look into complaints of the residents with regard to amenities concerned with accommodation and hostel equipments. Complaints and issues are to be resolved by the hall manager with inputs from the hostel council if any
3,5. The Hall Manager shall arrange for bill settlements and advances to the Office Bearers for hostel works after obtaining necessary sanction from the Warden duly recommended by the concerned students councilor and General Secretary
4,"6. The Hall Manager shall take stock of furniture, appliances, stereo equipment discs and any other assets of the hostel and of the Institute given to the hostel at the end of each semester or at any time of specific items with the help of concerned secretaries and maintain a proper record of all the assets of the hostel and report to theWarden"
5,"7. Hall Manager shall be responsible for general maintenance of the hostel premises and properties of the Institute 8. Hall manager is supposed to follow up on all applications, administrative or otherwise, by the hostel council/warden to the institute authorities, main building and estateoffice"
6,9. The Hall Manager shall maintain all files and records of the hostels 10. The Hall Manager shall carry out all cash transactions 11. Hall managers are supposed to manage the guest accommodation booking systemas directed by the Warden and the hostel council
7,12. Hall managers are expected to use the postal notification system and managethe incoming posts for students 13. Hall manager and the hostel GSec will allocate rooms at the time of new admissions and semester beginnings
8,14. The Hall Manager will follow the work schedule as outlined by the Warden and / or the hostel Council 15. The Hall Manager shall discharge any other duty assigned to him by the Warden and/or the Hostel Council
9,"After securing admission at the Institute and starting your stay here, you may feel that a lot of parameters around you are different.  You would have more responsibilities to handle at the hostel and at the academic level. Take heart, you will not be the only one. There are a few issues that almost everyone in the Institute faces initially like academic concerns, social (family and peer) pressure etc, leading to feelings of loneliness, low confidence, anxiety, stress, anger and sadness, to name a few."
10,"It is important to understand that students often lose their focus and give in to these pressures. If not attended to at the right time, this could lead to poor performance -- both academically and personally."
11,"To help you refrain from losing focus and being unhappy, we as Counsellors encourage you to approach us for any problem that you are facing-  be it academic, emotional, social or financial- without hesitation."
12,"Counselling provides an opportunity for individuals to learn to make better choices, improve interpersonal skills, develop confidence and increase educational effectiveness. In a one-on-one meeting with a counsellor, students are helped to explore and express feelings, examine beliefs and ways of thinking about their present situation, reflect on patterns of behavior, and work toward making healthier and happier changes."
13,Typical concerns of students who seek counselling are : Transition and change Uncertainty about values and goals Academic pressure Dealing with new academic patterns Personal relationships with the special one and with friends
14,"Family concerns Issues of grief and loss Stress, depression and anxiety Lack of motivation; concentration difficulties  Others… Student Wellness Centre provides 1. Individual Counselling… student get space to talk with no pressure"
